TTO,North America,Trinidad and Tobago,15/08/2020,412,8,8,0,294.393,5.716,1399491,266.886,
TUN,Africa,Tunisia,15/08/2020,1903,56,53,0,161.017,4.484,11818618,74.228,
TUR,Asia,Turkey,15/08/2020,246861,1226,5934,22,2927.007,70.359,84339067,104.914,
TCA,North America,Turks and Caicos Islands,15/08/2020,274,16,2,0,7076.812,51.656,38718,37.312,
UGA,Africa,Uganda,15/08/2020,1385,32,12,1,30.279,0.262,45741000,213.759,
UKR,Europe,Ukraine,15/08/2020,87872,0,2011,0,2009.249,45.983,43733759,77.39,
ARE,Asia,United Arab Emirates,15/08/2020,63819,330,359,1,6452.621,36.298,9890400,112.442,
GBR,Europe,United Kingdom,15/08/2020,316367,1440,41357,10,4660.268,609.212,67886004,272.898,
USA,North America,United States,15/08/2020,5313080,64838,168446,1336,16051.473,508.896,331002647,35.608,
VIR,North America,United States Virgin Islands,15/08/2020,734,30,9,0,7029.103,86.188,104423,306.48,
URY,South America,Uruguay,15/08/2020,1421,12,38,1,409.071,10.939,3473727,19.751,
UZB,Asia,Uzbekistan,15/08/2020,34251,690,223,5,1023.359,6.663,33469199,76.134,
VAT,Europe,Vatican,15/08/2020,12,0,0,0,14833.127,0,809,,
VEN,South America,Venezuela,15/08/2020,31381,1012,266,7,1103.568,9.354,28435943,36.253,
VNM,Asia,Vietnam,15/08/2020,930,19,21,0,9.554,0.216,97338583,308.127,
ESH,Africa,Western Sahara,15/08/2020,766,0,1,0,1282.373,1.674,597330,,
YEM,Asia,Yemen,15/08/2020,1858,11,528,0,62.295,17.703,29825968,53.508,
ZMB,Africa,Zambia,15/08/2020,9021,358,256,10,490.7,13.925,18383956,22.995,
ZWE,Africa,Zimbabwe,15/08/2020,5072,82,128,0,341.252,8.612,14862927,42.729,
OWID_WRL,,World,15/08/2020,21213649,288674,760421,6244,2721.513,97.555,7794798729,58.045,
